sentiment,clean_text
positive,well good morn wonder day thank follow anoth morn
positive,amaz tonight
positive,hope
positive,hurt much
neutral,wait listen wind blow none old enough know someon say
neutral,hell yeah
neutral,shirt dinner need ask actual
neutral,know
neutral,huh noooo love alex
positive,great
positive,happi bday
positive,thank
positive,happi
positive,glad
positive,thank
neutral,twitter day
positive,nice
negative,depress
negative,sick
positive,happi mother day peopl love mom lot still
negative,sorri
positive,soooo friend
positive,happi
neutral,get hang twitter
negative,know neck jack forc pay park turn head park free space
neutral,want back
negative,miss
neutral,bath two littl angel
neutral,lol true alway rememb never rememb date even day
neutral,famili
positive,gorgeous
negative,worri
neutral,morn get see ill let know right go go see wolverin
neutral,red top build knock
positive,tonight parti girl
neutral,made sad thought jump joy
neutral,simpl
neutral,pic upload babi pic cat pretti littl kitti heaven
positive,amaz
positive,glad
negative,miss
neutral,live that want better bound bad egg though soon learn
neutral,hell yeah got twitter final
positive,better
negative,ship stuck
positive,wait
negative,shame
neutral,look like offic tv get network look like game today
neutral,home empti hand comic found today cupcak
negative,definit
negative,exhaust
neutral,go go sunday got much go weekend
negative,sorri
negative,sad hurt
positive,get distract like thank new follow take troubl follow other feelin love
negative,broke
neutral,sure say big jst saw pic last birthday look pretti miss
neutral,sore throat plan time
negative,migrain
negative,suck
neutral,sway sway winner announc
neutral,check
positive,pretti well
neutral,want wake earli get coffe tomorrow today go day keep write booo
negative,miss daddi mommi
negative,offici depress
neutral,realiz forward text iphon
positive,excit
negative,suck
negative,bore
negative,lost
neutral,morn go piec want hide go piec almost die ever
negative,bad
neutral,lmao smh one threw
positive,oh nice go
neutral,get readi work work weekend
positive,parti
positive,agre
negative,everyth els
positive,perfect
positive,thank
negative,sorri
neutral,saw amaz big
negative,stuck
negative,dang
negative,miss tweet
negative,damnit suck
neutral,boss move nyc
negative,crazi
negative,stupid
neutral,think need new friend
neutral,look forward gig see ya
positive,pleas
positive,aww
neutral,hungri twitter want food
positive,awesom lucki
neutral,yea know tell everyth ps send direct messag tell ha
positive,love
neutral,great time beer garden wit think sun got bit though feel bit ill
negative,fun
neutral,realli think mayb way phone use think told might app
negative,feel pain
neutral,come home two day
negative,sad
positive,wait
neutral,check dentist app next week though get
negative,aww miss drive
positive,omg awsom love babi take
positive,cool
positive,wish
neutral,yeah real hard know get smile
negative,that good
positive,made night way funni
positive,happi
neutral,make face get home mom watch
neutral,go work
neutral,believ went got without
neutral,today
positive,thank
neutral,day count
negative,sorri friend
neutral,use twitpic pic url charact limit
negative,sunburn
neutral,nail chip
neutral,put camera pit longer door without caught
negative,one
negative,hate
negative,sorri
negative,die
neutral,write english origin write listen littl respect
neutral,need follow
negative,stupid job
neutral,littl sad pass away today ok hes still around happi ghost form
neutral,pant idea could new attempt attract busi back
positive,good
positive,popular
negative,want
positive,voic great
neutral,wish birthday come australia think said think though
neutral,hope go red weekend
positive,lucki
positive,sure hope
positive,congrat
negative,pass away
positive,amaz peopl
positive,cool
neutral,rice bread chili
neutral,like mind even dear
neutral,come save pack pleas
positive,yes love tea
positive,mouth sure
neutral,final hour histori pm went make homework friend
positive,thank
negative,entertain
negative,kill
negative,key stop work
positive,good
negative,poor toni
positive,goodmorn
negative,realli feel like
positive,love mine happi mother day mom john taylor much love
neutral,saw black garden went back pictur gone
positive,best
negative,anymor
positive,love mum much happi mother day wonder mother
negative,feel like poop
positive,excit
negative,cri
neutral,share even know sigh
neutral,chill tonit write funni seem like style
neutral,pleas pray lord know need
neutral,want live
positive,morn tweepl
neutral,hey get
positive,name
neutral,make day much better rough one mention love new photo
negative,want sit home
positive,wish
neutral,concert tonight come tomorrow
neutral,happen thought come back today
negative,dammit
positive,lol
negative,still jealous
negative,forev
negative,sad
negative,easi
positive,wow beauti pictur
positive,look good
neutral,peopl
neutral,go home usual mr posit one well min tomorrow
neutral,alway let go pari
positive,nice
positive,lot fun
negative,rush make feel
positive,love day
negative,play without fave
positive,like
negative,that weird
positive,good daughter
negative,that cool
positive,help
negative,lack
positive,cool
positive,good
neutral,think good life either honey moon
negative,swollen
neutral,hour ago came realis went buy someth onlin
neutral,oh lil twitter post
negative,act like know
positive,best
negative,scare
negative,miss
negative,mean
negative,good
neutral,back soon need run shop cut grass
neutral,plan today random
negative,miss
neutral,anoth
negative,stuck
negative,sad
negative,sorr
neutral,home alon
negative,live
negative,go well
neutral,upload pictur facebook
positive,congratul
negative,miss
neutral,woke want stay bed
neutral,great act enjoy see noooo
neutral,wish could make hate commut sometim
positive,hope make good tip
negative,chanc
negative,hate
positive,thank support
neutral,there realli twitter app tweeti
positive,love
positive,mother day mom
neutral,yeah go take pictur ipod babi
neutral,lol way
negative,fail
positive,glad
neutral,dinner even play card alreadi pack readi head home tomorrow go home
negative,cat get swollen hurt
negative,tomorrow tough
negative,miss
positive,glad
positive,thank
positive,hope
positive,well
neutral,nah hes hot bore
positive,ahhh clean fresh even though wear dirti cloth love two half men amaz
neutral,yes read mani time
neutral,cuz play grown twitter
negative,live ignor
neutral,nope tell want cream
negative,awwww go miss
positive,relax place
neutral,cost part
positive,love
negative,sorri
negative,dammit
positive,amaz
neutral,tri figur connect need googl go home comput start work soon smh
negative,sick sad
neutral,seem realli quiet jealous clear excit life bed think
negative,realli wish spare cash buy new wii
negative,go
negative,sorri
positive,feel hope smooth flight safe
negative,sleep
negative,sad
positive,sweet dream
neutral,wat aim chat
neutral,okay might tour summer long make happen
negative,pain
neutral,time watch dead like sleep
neutral,dinner grandma sinc mum
positive,haha thank histori america lol
neutral,yea wassup
negative,stupid
negative,shop til sunshin miss
positive,like
neutral,thank issu
neutral,around hour left day weekend much work
positive,love
neutral,attempt somehow extend class close find atm
neutral,yes join requir cupcak donat
negative,hard
negative,terribl headach super swollen eye think go
neutral,access site
positive,sun last
negative,train ever
neutral,cd either whole zero one free
neutral,graduat day feel like
neutral,lol suppos got twitter
negative,think ever
neutral,go today girl
negative,want anymor
negative,bad hair day
negative,headach
negative,sorri
neutral,like rest world hate monday
neutral,think bit love wit physic attract although great style
positive,thank anoth great day
negative,huh
neutral,piss usual hahah bake cooki
neutral,need feel better soon possibl ps miss done uni soon
positive,awesom
positive,happi
neutral,watch
negative,stupid
negative,want tell think bodi
neutral,nice beta still news onlin
negative,bad
negative,miss
negative,unfortun
positive,fun
positive,bad thing
neutral,sure fabul part though sorri dear
negative,teas
positive,got back work feel pretti good
neutral,ahhh save
positive,matter bet great love right go
positive,thank heaven
neutral,ear pop
negative,bad
negative,answer back
neutral,catch week lost grey hous quiet
positive,smile
negative,kind sick tire
negative,boo
neutral,hey
negative,miss
positive,great
positive,final gone beach
positive,awesom
neutral,last noth school start next week
positive,gorgeous girl
neutral,ok turn twitter devic updat get new batteri phone goe fulli charg dead hour
neutral,hot mama grand
positive,rock much
neutral,one know like boil peanut
positive,love
negative,ugh
neutral,pleas get cell phone better camera pictur real bad qualiti compar miley took
positive,bless
positive,good fun
negative,lost
negative,though go well
neutral,hook alreadi
positive,good
neutral,agre everybodi wouldv excit goe nooooo ms screw
neutral,left list month issu
neutral,yummi time come soon huh oh yeah hunt think find one
negative,back
negative,bore work
negative,hate
neutral,check start new limit edit differ way check facebook group
neutral,husband girl
neutral,think vega good idea place see
negative,suck
neutral,hi one artist anoth
positive,happi mother day
neutral,ok accept friend
negative,sorri
positive,love good
negative,avail area
neutral,friday hour tomorrow oh well
neutral,meet time tri win someth friday
negative,cramp
positive,thank
neutral,plan go follow ok
neutral,let guess skip sport bought new outfit
neutral,rain pleas come
neutral,pleasur
negative,fml
positive,funni
negative,wors
neutral,app
positive,help studi test
neutral,tonight minut
positive,cute
positive,love
neutral,hi
neutral,home cat right
negative,still empti
negative,sorri
positive,nice
neutral,exam today go get renew birthday get closer
positive,love
neutral,think go rain
positive,good
neutral,sign fun miss
negative,lost
neutral,close enough could run get one
negative,cold crazi
neutral,total power mommi
positive,pretti
neutral,senior last day
negative,one help
positive,thank
positive,thank
neutral,get closer rather real date chicago
neutral,lost laugh lol still wonder colleg week
negative,oh sorri get repli noth
positive,pray uncl
neutral,go scare rachel tonight fun
negative,omg want
neutral,watch
positive,special
positive,great
neutral,work soon way soon
neutral,want
negative,mad
positive,thank
neutral,hungri wife parti bring home much longer parti go
positive,pretti babi
neutral,invit hous instead
neutral,bit ben
positive,cute
neutral,dead stop happen choos take way ugh hope get move
neutral,yay twitter secret crush much info
positive,thank
negative,fail life sometim
positive,wish
neutral,point gear question post get rest set
neutral,remind much girl use date guess
positive,give twitter tip hope help
positive,love
positive,lol
positive,gorgeous
positive,guess relax dinner movi look forward day work
neutral,laptop watch sound
positive,uh huh
positive,funni
negative,look fab
negative,terribl
negative,sick go outsid
positive,good
positive,excit
neutral,home till like next month
positive,love
negative,bad
negative,screw
negative,got laid lot peopl becom
neutral,go anytim
positive,like
neutral,let guess ran mile gym wake kid go beach record studio
negative,never knew hard
positive,fun
negative,nail broke
negative,disappoint
neutral,yep
positive,love
negative,hope
neutral,anyon want buy avail till
neutral,beauti day outsid today shame stuck offic blind shut stop
neutral,woke sun start rain
neutral,creativ stock miss thank tweet
negative,hate
positive,love
negative,nice came
positive,celebr
positive,busi hope gd holiday day
positive,better
positive,ride hard
neutral,check design let know think
positive,thank welcom back
negative,suck
negative,sore head
neutral,offic tri mysteri blood bathroom toilet
neutral,aw love car soooo cute tonight love old sad
neutral,repli
neutral,watch anoth minut
positive,es
negative,stupid
neutral,tri shoe new look
neutral,earli want go back
negative,think sister get ticket
neutral,oh hes ok take vet
neutral,die wait magic jack read
positive,love
positive,one greatest dinner ever
negative,nooooo rain
positive,shower class class take care
positive,great
positive,great
positive,goodmorn twitter oh gosh woke soooo nice lol oh happi everybodi
positive,love
neutral,hubbi went pick comic today store work store busi houston web
positive,world amaz
negative,complet lost
neutral,need dm follow send email
positive,cute
neutral,got cabl set win got lock put door win feel neglect fail
negative,silli
positive,great talk grace awesom god somehow start control work
neutral,ill listen
neutral,oh hit famili lil delay wait see
neutral,sit home noth go like weekend
neutral,flew today great flight love light shame one drink limit
neutral,think go sleep consid hav
neutral,told often wash hair never speak
negative,end
negative,seem life
positive,happi mother day mom everi mom everywher beach
neutral,ohhh want go
positive,haha
positive,best
negative,aww
negative,noth fair
neutral,go see long
positive,better come time count els
neutral,take long time review
positive,well
negative,go fail final
positive,thank
negative,sad say fat tear
neutral,thank might take offer
negative,find anywher
negative,major headach
positive,ch
neutral,mitchel idea much want call cost load call england
negative,stupid
positive,relax
positive,right
neutral,night
positive,great
negative,sad
neutral,warm
neutral,key channel straight hmm
neutral,well hit
positive,thanx
positive,cute
positive,good
neutral,shower time
neutral,got drop car part buddi press dentist
neutral,call work
negative,expens
negative,tire
positive,happi
neutral,yay serious made day oh fellow hell
positive,goodnight
neutral,hangov get readi good old english fri
neutral,wait put stori know put
neutral,work
neutral,starbuck
neutral,there lot place yes
neutral,third date went fourth
negative,mad tire miss terribl
neutral,final start assign
positive,good
positive,good
positive,glad
negative,miss
negative,rain
neutral,yeah went day tri get back novemb mom super star weekend
positive,miss guy prob bk til august
neutral,okay make sure hes alright okay let know hes got friend aha
neutral,round way copi public contact person contact first big deal
neutral,tri figur
neutral,ill updat leav vet test
neutral,went see hannah montana movi saturday love still work twitter though
negative,fall
positive,look forward
neutral,well one thing around funni feel bad
negative,stop
positive,wait novemb concert
neutral,done alway end sell machin go back mac
negative,feel sorri though
neutral,sit thru bore bit wait good bit start coupl hour
neutral,fire rock challeng
negative,believ
negative,sorri ba
neutral,well
neutral,summer cuz close
positive,jus love doin night shift
neutral,morn earli
negative,thing
positive,updat realli amus
positive,love fact
positive,bad
positive,awesom
negative,rough
positive,aww congrat famili
positive,yay
neutral,strong agre wolverin hugh sorri kid
neutral,okay
positive,goodnight
negative,late hes gone
negative,lost internet
negative,sorri
positive,good mate sad could get piss tonight drive bad time
negative,blood everywher
neutral,pull walmart aunt got went fell asleep hour later lol
neutral,search home thing cook dinner even mother day guess eat
positive,cute
neutral,woke fell back sleep woke back sleep woke stay awak morn
positive,great
negative,hurt arm
negative,go bed
neutral,kind mood reason lol ill tri around
positive,hope
negative,keep get delay internet mess
neutral,tell mountain mountain
negative,sad
positive,good
neutral,could get away dare ill go buy tomorrow
positive,thank man sort
positive,enjoy
positive,favourit
neutral,ok back pack sit car charg phone charger left home well
negative,sad that often
positive,good time
negative,sun cool
positive,car help honest
neutral,babi babi go right side whole world turn ipod random song
positive,pretti
positive,realli love
negative,sad
neutral,also saw american idol great perform see june
positive,nice
positive,happi
neutral,finish watch
positive,enjoy
neutral,everyon seem love felt kind lazi realli disappoint
neutral,roll thursday
neutral,think ship need shut complet still
neutral,cav got lucki lol took kill anoth doubl
positive,happi
negative,bad
negative,forgot
neutral,long someon make
neutral,follow send dm
negative,poor
positive,happi st
neutral,pick taco lunch got guitar
negative,chanc later
neutral,sold
positive,hope
neutral,kind hard one think interest enough tell
positive,best
neutral,listen music home alon lol want come hang lol
negative,shut face
neutral,month put week notic littl week ago last day friday
neutral,oh yea boy hook page look least think took minut
positive,wait
neutral,yes pleas gone might actual get work done lol
negative,realli get sick ugh
neutral,youtub
neutral,call mum ask
neutral,lazi day play xbox drink tea
negative,disappoint
positive,hope
neutral,mom text told miss
positive,happi
positive,thank
neutral,leg kill know good pain
positive,fun
positive,wish could go
neutral,readi go home
neutral,need push diet last level good last week lost better gain
positive,excit
neutral,back kill keep drop got someon pick back though lol
negative,mad rain got
neutral,grandpar place
neutral,hi winter wait cali sun
negative,feel good
neutral,born
positive,show even though lol
positive,finish watch prison break final think cri hard understand final
negative,excus
neutral,glad friday two class lazi afternoon bad nice warm today
positive,good
positive,awesom
negative,afraid
negative,best day
neutral,goodnight
positive,welcom
positive,thank
positive,thank
positive,feel home day
neutral,haha rememb
neutral,hee exam ill give plenti show haha
positive,sorri
neutral,awww remind get readi ball
negative,rememb
neutral,need get look flight email work tonit
positive,wish batteri life iphon
positive,happi
positive,omg
positive,better
negative,work heat horribl
positive,turn human
positive,glad
neutral,yep classic start home said dj
positive,thank
positive,sleep screw
negative,easi find
positive,may fourth happi star war day
negative,lucki never
negative,take care yucki stuff
negative,lame
positive,good
negative,cri
positive,happi
neutral,med get check throat
neutral,either alway train work
positive,hope
negative,tire
positive,that good day
negative,good
positive,amaz inspir write
positive,love work
positive,hahaha busi see repli
positive,thank
negative,bad
neutral,hes log yet doubt check repli twitter must keep tri
neutral,content life moment
neutral,thank feel lot better hurt like hell good luck student write
positive,thank
positive,pretti much figur
negative,scare
neutral,semest request name
positive,happi mother day nice one
neutral,last night australia
neutral,extra got readi work noth studi night
positive,love
positive,fave
neutral,mother day today
positive,thank
neutral,yay congrat afraid check grade
negative,bad
neutral,differ today go go shower get readi
negative,prob cuz realli like sleep late even tri
positive,congrat
negative,still stick
neutral,guess toni never repli
neutral,wish could work
positive,yes good
neutral,ran
negative,lost
neutral,need movi guy right
neutral,go next week
negative,throat kill
neutral,back twitter
neutral,look weather weekend sunni
positive,awww ill let better next xd
neutral,door refus account gut heard good night though next time ill come
neutral,ah well ill see find later week tempt look week lol could go check
neutral,babe read tweet phone apart new come track ball keep phone
neutral,well strang woke empti hous love
negative,bloodi
neutral,make tea
neutral,class bout make sum breakfast
neutral,sport car flat tire
positive,good
neutral,came onlin email well yesterday
positive,much better cook
positive,enjoy
positive,great
positive,like love
negative,wast
neutral,yeah total suck hate abl breath thank ff
positive,thank much
negative,sad
positive,happi mother day
negative,suck
neutral,better peopl know go tonight right kill someth
neutral,stuck insid villag work day someon enjoy
positive,pleas feel free watch enjoy
positive,nice
positive,think smart
positive,look
positive,yeah twitter lot fun babe especi got peopl talk lol sound lol
positive,grate
neutral,call time good phone want catch love miss
negative,heart burn
positive,thank
neutral,even drunk think use mail address
positive,happi
positive,love
neutral,touch hrs kill head must fli singapor air often
negative,afraid
neutral,wow friend twitter
negative,hard
positive,posit doin good chang regret
neutral,friend sent call messag know could repli credit
positive,love
positive,laugh
neutral,leav shop light coffe nom nom nom
negative,becom poor
neutral,upload pictur myspac
neutral,kind funni sorri still favorit though
positive,worth
negative,internet
positive,awesom
neutral,lol clever extrem jealous follow
negative,loos
neutral,think friend think
positive,nice
positive,happi momma day
neutral,got back donat blood
negative,tire
positive,pleas
negative,pain
neutral,anoth need see photo
positive,aw toy stori come next year
neutral,leav yet
positive,happi
neutral,goe week
positive,good day good friend
negative,miss
positive,omg sooooo make dis show number one
neutral,listen count day concert may
negative,alon
positive,interest
positive,worri
positive,fun
positive,nice back
neutral,slow big get car sick much much much fun
neutral,well done yet thing left
neutral,yeah right plus find well almost day like
positive,enjoy coffe
neutral,omg plan hot tomorrow night
negative,sad
negative,freakin miss ugh today kind suck
positive,littl felt thing look like product two love
negative,super sad
negative,break heart
positive,thank
neutral,fish get attent kid
negative,terribl
positive,happi mother day
positive,happi
positive,happi
neutral,wonder get respond list
neutral,look itll
neutral,ok think take mother day holiday
negative,problem
positive,happi
neutral,bus boy order white chocol bread
neutral,let stuff talk flash
positive,thank
negative,expens
neutral,like live move back
positive,school bank holiday
neutral,oh hug
neutral,time never got right oh
negative,sorri
positive,awesom
positive,name
neutral,interview today
negative,sad
neutral,date movi like wolverin
negative,poor
neutral,beauti feel bad see go luck
negative,work one pain spammer
neutral,today free day bell wen end
neutral,hate internet peopl learn alway best
positive,love brother hes best friend
negative,total gut
negative,think like
neutral,know go test
neutral,need get ticket though know go happen
neutral,beta os crash back non cooki save firefox
negative,tan
positive,twitter talk peopl fun alreadi way mani way distract
neutral,want back
neutral,still train goin
negative,chanc fall love get
neutral,coffe time back later kiss
positive,thank
positive,good present
positive,awesom
negative,afraid
neutral,wish could play guitar guitar got ago collect need learn haha
positive,chin form room got noth ball good
neutral,talk boy first
neutral,come think good
negative,bad
negative,jealous
neutral,say goodby car next week go miss go come back beauti though
negative,jealous
negative,ill
neutral,neither longer want fair fair whatev say
positive,might realli join
neutral,post photo ok hour oh
positive,joke
positive,mind share
negative,poor thing
negative,nasti pictur
positive,nice
neutral,math class wait senior done minut
positive,thank scare dentist look like go get go
negative,fever
neutral,glad hate home dis
negative,sick feel like talk
negative,time
positive,great
neutral,great amaz
positive,thank repli
negative,miss
negative,suck
positive,definit
positive,good
negative,sick
negative,arm hurt
positive,definit best
negative,hungri
negative,oh
neutral,throat fire
negative,miss alreadi
positive,feel free
neutral,sinc part job predict happen golf cours go shoot
neutral,kind food follow
neutral,want whole day hurri
neutral,oh think almost everi tuesday june bought one felt guilti took back
negative,sorri
neutral,may
neutral,sun start go get
neutral,way bar
neutral,lol thought suppos guess tri
positive,thank comment
neutral,go uni quit way famili home
negative,miss
positive,glad see sun great week
neutral,yes put insid anyth els
negative,weird
positive,awsom salad
positive,cute
neutral,haha tri cover make work lol wear way go
neutral,go iphon full
negative,hurt
negative,lost
positive,hahah
positive,dan funni
positive,hope day get better soon
positive,thank
neutral,tire happi wow babysit realli fun
negative,car start
neutral,coupl day wish someth cafe
negative,cancel
neutral,work iphon macbook flat
positive,ador
positive,favorit produc list lol
neutral,know
neutral,want summer actual sun
positive,love
negative,peopl get much
negative,problem
positive,beauti morn
positive,content
neutral,hero
neutral,think ever earli sunday
neutral,feel like take day afford look forward cup final tomorrow night though go
neutral,yup that new activ
negative,hurt
negative,sad
neutral,yeah yeah yeah
neutral,well watch wait tomorrow take anyon need dr wo take everyon ear red hair
neutral,got link
negative,noon want talk lol
positive,color thing seen
neutral,somebodi get work tomorrow
negative,yeah went bed
positive,goo
positive,like
negative,suck
positive,total welcom
neutral,american pie forev watch right run around street
positive,hey fan new love show even though soooo behind episod haha keep good work
neutral,say
neutral,go work till mayb ride hors take sister
positive,nice
neutral,ahhh wing
positive,good
neutral,there suppos end last tweet guess twitter ate
negative,wtf
neutral,listen new record
neutral,home work hour sleep put mile new bike
neutral,say ok back work
negative,emot
negative,ill wait
positive,hell yeah
positive,good
neutral,speed lesson main screen center court take pic
positive,great
negative,want dress
positive,win
positive,live long
neutral,got michael well tire fun though ryan lol
neutral,hey go come pleas tell yes
neutral,mean
neutral,finish wed wait upload share still session
neutral,lol yea birthday everybodi lame want sit hous instead wit lol
neutral,wait batteri charg new
neutral,dad six week ago left colleg year ago long time kitti
positive,name
negative,lost
negative,much
neutral,super late work got ear day pleas get better
neutral,got outta work hous
neutral,kirk
neutral,search googl plenti choos
neutral,want mouth
neutral,show count midnight show morn
neutral,omg believ jay leno go air
positive,plan tonight well anyway
positive,beauti
negative,swine flu
positive,happi mother day
neutral,starbuck
neutral,ocean
neutral,wake earli go gym
positive,heaven
neutral,jimmi jon
neutral,anyon look year rock climb wall
negative,one ever understand
negative,headach
positive,thank
positive,happi star war
neutral,bout go work
positive,amaz singer
positive,love
neutral,good sort home
neutral,tri watch vid audio
negative,late
neutral,weather start better shine
neutral,feed cook stuff hahaha yeah right sound like normal day
neutral,answer part question
positive,hope ya well guy
negative,feel
neutral,watch
negative,hard
positive,thank
neutral,realiz school today tomorrow next month realli need get job applic
neutral,fault also wish could see play uk gig sold pleas repli
positive,sweet
neutral,thank motiv return rate coffe
neutral,work alway make littl
positive,best job world good luck
positive,happi mother day
neutral,last class juli today go miss bought bottl gift
positive,love ac see onlin yet wait buy look amaz
neutral,forget
neutral,pain part life long time hope feel bit better soon
neutral,might year
positive,glad
neutral,feel guilti buy shoe yesterday hous mate saw got excit
negative,hurt
neutral,like librari somewher someon els desk somewher
positive,soooooo cute
negative,feel guilti
neutral,need thank keep good thought
positive,funni
negative,realli take
positive,wish
neutral,fun time
negative,bad weather weird summer
neutral,twitter
negative,ugh doin good
positive,happi coupl
negative,let vote reason
neutral,awesom complet finish goe left right
negative,miss
positive,thank
neutral,ahhhh almost wait got work rite hat club come give compani oh cooki
neutral,wish result true
positive,excit
positive,fan
neutral,line phone normal text
positive,thank god
positive,glad
neutral,got accept
neutral,night way parti sleep tonight
negative,kill
positive,love abl run tongu along teeth
positive,haha
negative,break heart
positive,awe thank much
neutral,random
neutral,mari toast stick
neutral,go memori guy grade die
neutral,tomorrow morn post link show anyon
negative,believ
positive,great time away
neutral,miss guy ugh sad got cool stuff today super excit look forward tonight
positive,lol
negative,made head
negative,bore
neutral,awak other sleep
positive,thank
positive,cheer
negative,sad
negative,suck
positive,awesom week around
negative,work day
neutral,oh cool go crash sleep like hour work lol
neutral,haha
negative,freez math class
neutral,follow may go
positive,still moon
neutral,there point one els
positive,wish
positive,goodnight
neutral,say
negative,money gone
neutral,work day
positive,thought pretti good
positive,ty much ff
positive,enjoy
positive,happi mother day mother
neutral,movi
neutral,unit
neutral,read break
negative,die
positive,good luck
positive,beauti
positive,love
positive,good
neutral,know worth peopl actual show lol
neutral,ps thing much sushi
positive,good
positive,two ador pit mix today
negative,ohhh pleas
negative,fall apart
negative,slept parent bed hard rock back feel like rock
negative,want work
